posicao,titulo,cidade,bairro,quartos,banheiros,area_m2,preco,moeda,url
1,"Terreno à venda, Boa Vista, Ponta Grossa, PR",,,,,,55000000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-boa-vista-ponta-grossa-pr/TE1548_IMBADQ
2,"Terreno à venda, Uvaranas, Ponta Grossa, PR",,,,,,52000000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-uvaranas-ponta-grossa-pr/TE1541_IMBADQ
3,"Terreno à venda 22047M², Jardim Colonial, Castro - PR",,,,,,33000000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-m2-jardim-colonial-castro-pr/TE0230_IMBADQ
4,"Terreno à venda, Chapada, Ponta Grossa, PR",,,,,,26000000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-chapada-ponta-grossa-pr/TE1701_IMBADQ
5,"Terreno à venda, Nova Rússia, Ponta Grossa, PR",,,,,,21315000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-nova-russia-ponta-grossa-pr/TE1620_IMBADQ
6,"Terreno à venda 42.402M², Cará-cará, Ponta Grossa - PR",,,,,,15000000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-m2-cara-cara-ponta-grossa-pr/TE0812_IMBADQ
7,"Apartamento à venda, Centro, Balneário Camboriú, SC",,,,,,14850000.0,BRL,www.adquiraimoveis.net/imovel/apartamento-a-venda-centro-balneario-camboriu-sc/AP4714_IMBADQ
8,"Terreno à venda 80171.69M², Contorno, Ponta Grossa - PR",,,,,,14800000.0,BRL,www.adquiraimoveis.net/imovel/terreno-a-venda-m2-contorno-ponta-grossa-pr/TE0649_IMBADQ
9,"Apartamento à venda, Centro, Balneário Camboriú, SC",,,,,,14000000.0,BRL,www.adquiraimoveis.net/imovel/apartamento-a-venda-centro-balneario-camboriu-sc/AP4720_IMBADQ
10,"Comercial à venda 46086M², Uvaranas, Ponta Grossa - PR",,,,,,12000000.0,BRL,www.adquiraimoveis.net/imovel/comercial-a-venda-m2-uvaranas-ponta-grossa-pr/CONJ0406_IMBADQ
